Frame	Occidentary	Time	Encounter Slot	PID	!!!	Nature	Ability	HP	Atk	Def	SpA	SpD	Spe	Hidden	Power	50% F	12.5%F	25% F	75% F	
120000	120071	33:20.00	2	7EC4E932		Calm	0	23	28	16	21	12	9	Bug	30	F	M	F	F	
120001	120058	33:20.01	1	7DA2D7B0		Careful	0	15	15	25	16	23	20	Water	52	M	M	M	F	
120002	120045	33:20.03	0	DAF23AC8		Careful	0	7	18	31	4	20	7	Ground	39	M	M	M	M	
120003	120030	33:20.05	1	028749D2		Modest	0	10	18	25	2	25	16	Fire	42	M	M	M	M	
120004	120019	33:20.06	1	B2145E72		Gentle	0	14	28	4	23	28	0	Ground	40	F	M	M	F	
120005	120032	33:20.08	2	E450664A		Naive	0	9	18	22	21	12	15	Bug	38	F	M	M	F	
120006	120055	33:20.10	0	20DD8D5A		Naughty	0	29	13	28	29	21	16	Psychic	30	F	M	M	F	
120007	120062	33:20.11	1	56EE82BC		Serious	0	21	31	21	13	10	6	Bug	56	M	M	M	F	
120008	120095	33:20.13	1	5933D096		Impish	0	11	18	30	12	23	13	Water	54	M	M	M	F	
120009	120048	33:20.15	2	66195087		Sassy	1	16	21	16	18	14	25	Poison	60	M	M	M	F	
120010	120085	33:20.16	2	BBD0AA58		Jolly	0	14	28	12	23	29	11	Ice	45	F	M	M	F	
120011	120056	33:20.18	0	71BD20DD		Hardy	1	16	29	21	13	31	2	Psychic	55	M	M	M	M	
120012	120049	33:20.20	0	C2B06619		Brave	1	25	18	14	16	23	29	Water	54	F	F	F	F	
120013	120058	33:20.21	0	7DA2D7B0		Careful	0	15	15	25	16	23	20	Water	52	M	M	M	F	
120014	120025	33:20.23	0	A03678DA		Quiet	0	3	15	2	23	27	3	Dragon	70	M	M	M	M	
120015	120030	33:20.25	3	028749D2		Modest	0	10	18	25	2	25	16	Fire	42	M	M	M	M	
120016	120061	33:20.26	1	82BCDE14		Hardy	0	14	23	21	31	21	21	Dragon	42	F	F	F	F	
120017	120040	33:20.28	1	B29E6FB0		Adamant	0	25	23	25	21	5	5	Dark	31	M	M	M	F	
120018	120085	33:20.30	0	BBD0AA58		Jolly	0	14	28	12	23	29	11	Ice	45	F	M	M	F	
120019	120144	33:20.31	1	8E3152F6		Quirky	0	19	29	5	23	27	2	Ice	66	M	M	M	M	
120020	120095	33:20.33	2	5933D096		Impish	0	11	18	30	12	23	13	Water	54	M	M	M	F	
120021	120036	33:20.35	1	48C5B2F5		Relaxed	1	18	17	28	28	20	13	Poison	30	M	M	M	M	
120022	120027	33:20.36	0	EEE309E3		Hasty	1	24	16	8	14	18	18	Fighting	65	M	M	M	M	
120023	120038	33:20.38	0	538D7232		Jolly	0	16	29	27	20	12	30	Flying	37	F	M	F	F	
120024	120033	33:20.40	1	DA49E450		Naive	0	15	21	12	23	12	21	Ghost	40	F	M	M	F	
120025	120078	33:20.41	0	86D5394D		Docile	1	23	19	12	27	25	22	Psychic	47	F	M	M	F	
120026	120059	33:20.43	0	E5EF7DA2		Bold	0	20	16	23	21	0	28	Rock	32	M	M	M	F	
120027	120066	33:20.45	0	401C648B		Gentle	1	0	28	30	29	19	25	Ice	52	M	M	M	F	
120028	120045	33:20.46	1	DAF23AC8		Careful	0	7	18	31	4	20	7	Ground	39	M	M	M	M	
120029	120048	33:20.48	3	66195087		Sassy	1	16	21	16	18	14	25	Poison	60	M	M	M	F	
120030	120035	33:20.50	3	B2F5B2AF		Hasty	1	5	6	18	17	28	18	Rock	38	M	M	M	F	
120031	120058	33:20.51	1	7DA2D7B0		Careful	0	15	15	25	16	23	20	Water	52	M	M	M	F	
120032	120229	33:20.53	2	7353D7EE		Docile	0	5	31	28	7	17	8	Psychic	41	M	M	M	M	
120033	120084	33:20.55	1	AA583A52		Bashful	0	16	30	14	28	12	14	Fighting	38	F	M	M	F	
120034	120085	33:20.56	2	BBD0AA58		Jolly	0	14	28	12	23	29	11	Ice	45	F	M	M	F	
120035	120124	33:20.58	1	4BF66494		Naughty	0	9	12	6	10	1	7	Water	47	M	M	M	F	
120036	120075	33:20.60	0	D08F95A4		Lax	0	13	19	3	10	14	13	Ground	64	M	M	M	F	
120037	120044	33:20.61	0	3AC8AB3C		Naive	0	18	23	22	18	31	7	Grass	70	F	M	F	F	
120038	120081	33:20.63	0	9CC5E776		Quiet	0	30	22	2	18	14	18	Fighting	70	F	M	M	F	
120039	120132	33:20.65	2	4F53343E		Lonely	0	11	12	5	17	30	27	Ghost	56	F	M	F	F	
120040	120067	33:20.66	2	FB80401C		Hasty	0	25	29	19	4	17	13	Electric	32	F	F	F	F	
120041	120048	33:20.68	0	66195087		Sassy	1	16	21	16	18	14	25	Poison	60	M	M	M	F	
120042	120067	33:20.70	1	FB80401C		Hasty	0	25	29	19	4	17	13	Electric	32	F	F	F	F	
